# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.4,-0.1272727272727272,0.7,0.7
-2.4,-0.178181818181818,0.7,0.7
-2.4,-0.229090909090909,0.7,0.7
-2.4,-0.28,0.7,0.7
-2.4,-0.3309090909090908,0.7,0.7
-2.4,-0.38181818181818183,0.7,0.7
-2.4,-0.4327272727272726,0.7,0.7
-2.4,-0.48363636363636364,0.7,0.7
-2.4,-0.5345454545454544,0.7,0.7
-2.4,-0.5854545454545454,0.7,0.7
-2.4,-0.6363636363636362,0.7,0.7
-2.4,-0.687272727272727,0.7,0.7
-2.4,-0.7381818181818178,0.7,0.7
-2.4,-0.7890909090909086,0.7,0.7
-2.4,-0.8399999999999999,0.7,0.7
-2.4,-0.8909090909090907,0.7,0.7
-2.4,-0.9418181818181814,0.7,0.7
-2.4,-0.9927272727272727,0.7,0.7
-2.4,-1.0436363636363635,0.7,0.7
-2.4,-1.0945454545454543,0.7,0.7
-2.4,-1.1454545454545455,0.7,0.7
-2.4,-1.1963636363636363,0.7,0.7
-2.4,-1.247272727272727,0.7,0.7
-2.4,-1.2981818181818179,0.7,0.7
-2.4,-1.3490909090909091,0.7,0.7
-2.4,-1.4,0.7,0.7
-2.349473684210526,-1.4,0.7,0.7
-2.2989473684210524,-1.4,0.7,0.7
-2.2484210526315787,-1.4,0.7,0.7
-2.1978947368421053,-1.4,0.7,0.7
-2.1473684210526316,-1.4,0.7,0.7
-2.096842105263158,-1.4,0.7,0.7
-2.046315789473684,-1.4,0.7,0.7
-1.9957894736842103,-1.4,0.7,0.7
-1.9452631578947368,-1.4,0.7,0.7
-1.8947368421052633,-1.4,0.7,0.7
-1.8442105263157895,-1.4,0.7,0.7
-1.7936842105263158,-1.4,0.7,0.7
-1.743157894736842,-1.4,0.7,0.7
-1.6926315789473683,-1.4,0.7,0.7
-1.6421052631578947,-1.4,0.7,0.7
-1.591578947368421,-1.4,0.7,0.7
-1.5410526315789475,-1.4,0.7,0.7
-1.4905263157894737,-1.4,0.7,0.7
-1.44,-1.4,0.7,0.7
-1.3894736842105264,-1.4,0.7,0.7
-1.3389473684210527,-1.4,0.7,0.7
-1.288421052631579,-1.4,0.7,0.7
-1.2378947368421052,-1.4,0.7,0.7
-1.1873684210526314,-1.4,0.7,0.7
-1.1368421052631579,-1.4,0.7,0.7
-1.0863157894736841,-1.4,0.7,0.7
-1.0357894736842106,-1.4,0.7,0.7
-0.9852631578947368,-1.4,0.7,0.7
-0.9347368421052631,-1.4,0.7,0.7
-0.8842105263157896,-1.4,0.7,0.7
-0.8336842105263156,-1.4,0.7,0.7
-0.783157894736842,-1.4,0.7,0.7
-0.7326315789473685,-1.4,0.7,0.7
-0.6821052631578948,-1.4,0.7,0.7
-0.631578947368421,-1.4,0.7,0.7
-0.5810526315789473,-1.4,0.7,0.7
-0.5305263157894737,-1.4,0.7,0.7
-0.4800000000000002,-1.4,0.7,0.7
-0.42947368421052623,-1.4,0.7,0.7
-0.3789473684210529,-1.4,0.7,0.7
-0.3284210526315787,-1.4,0.7,0.7
-0.2778947368421054,-1.4,0.7,0.7
-0.22736842105263166,-1.4,0.7,0.7
-0.1768421052631579,-1.4,0.7,0.7
-0.12631578947368416,-1.4,0.7,0.7
-0.0757894736842104,-1.4,0.7,0.7
-0.0252631578947371,-1.4,0.7,0.7
0.0252631578947371,-1.4,0.7,0.7
0.0757894736842104,-1.4,0.7,0.7
0.12631578947368416,-1.4,0.7,0.7
0.1768421052631579,-1.4,0.7,0.7
0.22736842105263166,-1.4,0.7,0.7
0.277894736842105,-1.4,0.7,0.7
0.3284210526315787,-1.4,0.7,0.7
0.3789473684210529,-1.4,0.7,0.7
0.42947368421052623,-1.4,0.7,0.7
0.48,-1.4,0.7,0.7
0.5305263157894737,-1.4,0.7,0.7
0.581052631578947,-1.4,0.7,0.7
0.6315789473684208,-1.4,0.7,0.7
0.6821052631578945,-1.4,0.7,0.7
0.7326315789473687,-1.4,0.7,0.7
